vehicle_length_m,footway_length_m,footway_ratio,signal_count,crossing_count,vehicle_intersection_count,vehicle_footway_intersection_count,signal_nearest_m,crossing_nearest_m,primary_ratio,secondary_ratio,tertiary_ratio,residential_ratio,service_ratio,unclassified_ratio,trunk_ratio,cell_id,accident_count
2908.9910395584825,432.2450869376221,0.148538287940297,0,0,22,2,360.73795365204876,941.4241254690501,0.0,0.07934905098509012,0.0,0.7690216772544127,0.15128562809066992,0.0,0.0,500m_25079_7947,0
1519.405578316327,427.2816864417575,0.2810313856615302,1,0,13,3,322.2263318177547,443.73021476086103,0.05069533429824123,0.2833033793503996,0.0,0.42744394129051616,0.021898035535066147,0.0,0.21600159028673888,500m_25079_7948,0
1305.2260373723461,2797.6030873089194,2.1417450022177507,1,4,14,8,271.6760612458529,96.28738640627729,0.0,0.0,0.0,0.0,0.25406231717237465,0.29968398677086394,0.44548813177356006,500m_25079_7949,0
1665.4758729573807,615.9809962200019,0.3696309116836253,0,0,10,7,367.3085852190704,338.42732287785594,0.0,0.0,0.0,0.9522739735821215,0.04071619515217973,0.006409762572099377,0.0,500m_25079_7950,0
0.0,0.0,0.0,0,0,0,0,835.3328372414929,694.2942510417565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25079_7951,0
54.44821862504778,0.0,0.0,0,0,0,0,1923.9236931595685,2478.406727756202,0.0,0.0,0.0,0.0,0.0,0.9819651555127099,0.0,500m_25080_7944,0
431.58222245391704,85.49783723391626,0.19764528636639556,0,0,1,0,1473.0512846363338,1986.9157131785914,0.0,0.0,0.0,0.0,0.0,0.9976883007481738,0.0,500m_25080_7945,0
0.0,1515.3311438437536,1515.3311438437536,0,0,0,0,1067.7244180328908,1501.6410461374114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25080_7946,0
2146.71775673102,67.26093328798895,0.031317398702502185,0,0,14,1,782.2713175014936,1031.3948073813526,0.0,0.0,0.0,0.47933447742778157,0.27236857362587025,0.2478313384177464,0.0,500m_25080_7947,0
2105.7673543390592,320.2100341251057,0.151991169535453,0,0,4,0,754.878630178243,611.8678803638668,0.16835444049685183,0.32699552113578084,0.0,0.04257638045853911,0.0,0.46159899705083624,0.0,500m_25080_7948,0
425.4270487708594,798.6429905039062,1.8728713218496067,0,0,0,0,359.42827108859495,351.9924278260275,0.9736675654472009,0.0,0.0,0.0,0.0,0.0,0.023987367552752038,500m_25080_7949,0
1004.3220117541957,1161.7935674282871,1.1556432206244671,0,2,12,4,436.22615151342,135.38142949234077,0.0,0.0,0.0,0.19813969673538537,0.08301768336799709,0.1145366553093206,0.6033112584251837,500m_25080_7950,0
0.0,0.0,0.0,0,0,0,0,867.8453006839403,586.9523217729835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25080_7951,0
644.505567430301,0.0,0.0,0,0,0,0,2164.2445193669314,2611.6205554018757,0.0,0.0,0.0,0.0,0.0,0.9984508266846079,0.0,500m_25081_7944,0
230.07452764487869,526.8544373189344,2.2800195360720066,0,0,0,0,1775.470743643984,2150.780703130714,0.0,0.0,0.0,0.0,0.0,0.9956723918893525,0.0,500m_25081_7945,0
602.7301842107092,0.0,0.0,0,0,7,0,1456.844540450708,1712.5743705918148,0.0,0.0,0.0,0.0,0.0,0.9983436309362147,0.0,500m_25081_7946,0
124.06981468423638,728.7247151830751,5.8265434951101955,0,0,0,0,1262.6374381134679,1319.743138244374,0.0,0.0,0.0,0.0,0.0,0.99200446564565,0.0,500m_25081_7947,0
573.3283835863263,86.47264533943573,0.15056307125109755,0,0,1,1,1336.7965419983086,1370.753432712929,0.0,0.27374845867858033,0.0,0.0,0.0,0.7245103771571912,0.0,500m_25081_7948,0
509.04203764868294,734.3593578394921,1.4398016313026318,0,0,0,0,904.9644647200976,1104.8080873046222,0.9980393772940559,0.0,0.0,0.0,0.0,0.0,0.0,500m_25081_7949,0
919.1072077427564,1559.5877454723143,1.695006551789065,0,0,6,3,593.8467872136918,1031.5010808226582,0.0,0.0,0.0,0.0,0.11728071526321583,0.23964387952271357,0.6419885753407857,500m_25081_7950,0
499.0815230172324,159.11833372966828,0.3181847886913134,0,0,1,1,622.9807120066477,1120.3494519676929,0.0,0.0,0.0,0.35783657713740197,0.0,0.6401637489015075,0.0,500m_25081_7951,0
516.5868141051516,717.7747717455263,1.3867717495594953,0,0,0,2,2483.3444723017587,2828.278611081414,0.0,0.0,0.0,0.0,0.0,0.9980679569634537,0.0,500m_25082_7944,0
0.0,993.4103684369338,993.4103684369338,0,0,0,0,2152.9648693278627,2409.229918742367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25082_7945,0
0.0,1098.7370544999217,1098.7370544999217,0,0,0,0,1898.7557279644502,1980.761758741738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25082_7946,0
0.0,1203.1608448804182,1203.1608448804182,0,0,0,0,1684.2687090755496,1503.8556786426964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25082_7947,0
0.0,410.1590861663846,410.1590861663846,0,0,0,0,1217.9596983968281,1049.5257482144593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25082_7948,0
549.4102050754908,784.9662416599299,1.42614768843588,0,0,0,1,717.8988325925253,665.7209076144674,0.8973735379169422,0.0,0.0,0.10080963530408693,0.0,0.0,0.0,500m_25082_7949,0
1637.463096924558,1740.4347302628262,1.0622361489432823,1,0,19,10,221.56100419016303,535.3708940476579,0.0,0.0,0.0,0.11594837680457357,0.06888690688132298,0.5599661703461221,0.25458821791001257,500m_25082_7950,0
2400.474914469765,1017.3325663907299,0.4236282295771357,0,0,17,10,290.7876564419831,680.3530074278696,0.0,0.0,0.0,0.6363249071329675,0.038587800261663086,0.25305579455821925,0.07161508728475789,500m_25082_7951,0
0.0,278.8617962971163,278.8617962971163,0,0,0,0,2854.9288358653494,2911.225318051737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25083_7944,0
0.0,460.12898030344707,460.12898030344707,0,0,0,0,2572.695897981374,2410.373009666397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25083_7945,0
0.0,63.361941066302826,63.361941066302826,0,0,0,0,2098.008462625949,1909.5342041505962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25083_7946,0
0.0,0.0,0.0,0,0,0,0,1597.2241410051188,1408.7233034715703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25083_7947,0
0.0,1087.9151821341661,1087.9151821341661,0,0,0,0,1096.5254405598848,907.9864825509349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25083_7948,0
63.585192024182405,1519.9525660434629,23.534072105481275,0,0,0,0,596.1281446223495,407.5968560708079,0.9845165746410481,0.0,0.0,0.0,0.0,0.0,0.0,500m_25083_7949,0
2233.704386156597,1629.5901354406997,0.7292195538414744,1,2,16,13,100.63362089541207,97.9212923341584,0.23512856674489385,0.0,0.0,0.14126340846490212,0.16328227614936885,0.1487161916769587,0.3111620704836972,500m_25083_7950,1
93.84868359864905,44.321501912643285,0.46728642118207075,0,0,0,1,408.21945608454246,413.37368863398797,0.0,0.0,0.0,0.0,0.7340455334237304,0.0,0.2554113576784014,500m_25083_7951,0
0.0,910.974797436773,910.974797436773,0,0,0,0,3134.1275456360368,2949.341367050768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25084_7944,0
0.0,0.0,0.0,0,0,0,0,2639.8320906529275,2456.2709602112795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25084_7945,0
0.0,0.0,0.0,0,0,0,0,2148.5876985383684,1967.149510705129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25084_7946,0
0.0,0.0,0.0,0,0,0,0,1663.1002275036678,1485.8818936468192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25084_7947,0
0.0,0.0,0.0,0,0,0,0,1190.4340687649726,1023.6065861335065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25084_7948,0
0.0,75.20466360069742,75.20466360069742,0,0,0,0,755.0641127582356,624.0621134121118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25084_7949,0
1073.5251093660713,1164.5273913553067,1.0837600547485886,0,0,6,3,474.20248166515483,467.00469031899723,0.0,0.0,0.0,0.2721317532278483,0.05297504631920071,0.6492791201269467,0.02468343664789617,500m_25084_7950,0
