cell_id,n_points,sightline_mean_of_mean,sightline_mean_of_min,sightline_worst_min,sightline_mean_of_std,sightline_mean_open_fraction
500m_25217_7918,8,21.66244272451556,6.460533142422543,2.6195770299787013,13.20294290715506,0.4201388888888889
500m_25183_7925,8,15.578235656196947,4.5204059692394445,2.124525985362468,10.283134734566005,0.2638888888888889
500m_25175_7921,8,16.104028953848907,5.083979287142401,2.2559329800955257,11.927934862384674,0.2986111111111111
500m_25206_7945,8,25.427296747833072,6.575509968240664,5.136740935893613,16.080575597015077,0.46875
500m_25198_7941,8,24.663923695753127,5.8849271972863875,2.54705550457129,14.131264509491015,0.46875
500m_25210_7915,8,44.57889796483616,32.55951121552074,4.0164878271398265,6.988890684374605,0.8923611111111112
500m_25176_7922,8,25.3327184857666,7.529761604794032,3.230872233228784,13.981506270546989,0.53125
500m_25195_7935,8,25.59995138930434,5.731084648330564,2.030358710578116,16.388313396336592,0.5138888888888888
500m_25168_7918,8,23.856192967327328,5.793632326935577,2.6575572044281097,15.557847725006797,0.4722222222222222
500m_25187_7931,8,16.51649088976157,4.438458008737918,2.0080525659030424,12.925685778191967,0.28125
500m_25188_7896,8,15.096240263670964,3.7642096865871966,1.1318260093265256,13.496745000231076,0.2638888888888889
500m_25191_7901,8,29.388460864731073,9.45955370595391,5.365415225587613,15.80883478007129,0.5694444444444444
500m_25190_7942,8,9.214139681208913,2.565746860442917,1.3540690708045313,9.769812082237294,0.10416666666666666
500m_25169_7919,8,24.329678588400824,6.3403012608942,3.252727214999432,14.178630392646767,0.5034722222222223
500m_25182_7938,8,16.79423582183931,4.96671038169456,3.0259543061230163,13.324381692525261,0.28125
500m_25172_7924,8,15.939006130945657,3.665128473803188,2.1591065456159413,13.509535494473896,0.26388888888888884
500m_25213_7925,8,38.427567387050516,27.50054349140264,0.9811365537272448,6.300791781841905,0.78125
500m_25192_7902,8,18.98932685993297,6.3404978752748695,2.195620739307006,12.748027144422378,0.34375
500m_25205_7921,8,22.97168106069038,5.846889924262451,2.5283198103577704,15.000871793520348,0.4375
500m_25184_7898,8,20.73896111911957,5.134029558798909,3.0030590292792456,14.111078191786849,0.4166666666666667
500m_25171_7928,8,13.309080720279281,2.4475836236107473,0.5848011479500115,12.054410368044485,0.2222222222222222
500m_25174_7933,8,24.017585267481046,9.121262423085689,1.7113982446026057,12.748151315302252,0.47916666666666663
500m_25214_7926,8,18.26148901916479,4.410871094151652,2.7769929047561863,14.942645652508284,0.3090277777777778
500m_25186_7944,8,29.469518095701027,9.214650172003266,3.4020175597018167,14.081033674641837,0.6770833333333334
500m_25206_7922,8,26.663599562390516,6.9601730393008205,0.7946207731197636,14.372538009919584,0.5138888888888888
500m_25198_7918,8,27.572355788739337,9.342953997644981,0.5888543005272843,13.920373350997696,0.5243055555555556
500m_25217_7931,8,24.973039244509728,7.654049923186301,2.345143278408136,14.462284417037738,0.46875
500m_25183_7938,8,21.408457040152705,5.495248890541818,2.818844061293167,14.397242315208665,0.4097222222222222
500m_25175_7934,8,19.0443144581198,4.143815837867538,3.0242570041569325,15.440984324905518,0.3159722222222222
500m_25167_7930,8,20.939582666903423,5.18474699014908,2.679630401336908,15.252976895876484,0.34375
500m_25187_7908,8,14.07057033561143,3.0230603224513306,1.0040417668842565,11.525036472046077,0.2326388888888889
500m_25179_7904,8,21.313611735784846,5.764865342032829,2.627077058806053,14.041942131095723,0.4305555555555556
500m_25178_7945,8,26.53113126322745,7.93436016731716,4.3341325049016195,14.62954604674572,0.5034722222222222
500m_25168_7931,8,21.22701399670669,5.332620157609714,3.0740720828115884,14.711359240047692,0.40625
500m_25209_7932,8,31.606501416602875,18.64331103110293,1.1754511857212109,8.163363740051475,0.6354166666666667
500m_25188_7909,8,29.697467248495467,9.623641396582373,3.5148545668588165,13.982326284514002,0.6388888888888888
500m_25201_7928,8,17.573949832590323,4.9595078120136815,3.1246437125455486,13.869523564928116,0.2881944444444444
500m_25180_7905,8,18.117006888605786,4.585356099985983,1.4292725613473782,13.571784744753767,0.34375
500m_25212_7937,8,28.32720781028906,8.692622477398398,3.783616005853024,15.087804261147424,0.5763888888888888
500m_25191_7914,8,18.986153066033694,6.822525309749576,4.027624096310515,12.436526793028454,0.3611111111111111
500m_25202_7929,8,16.502814185903596,6.318087078211731,1.7944727495629538,12.653099780872035,0.28125
500m_25213_7938,8,28.75907206122544,9.460506334856383,2.276002120543126,14.248858921033525,0.6180555555555556
500m_25186_7921,8,29.039474206456013,9.89960228131089,2.638769290944765,14.209404786361855,0.59375
500m_25205_7934,8,35.921075218717306,21.10019860164113,1.9783588936601941,9.2549047314751,0.7326388888888888
500m_25163_7937,8,23.63006866594055,4.936748245936773,2.6615491321999554,15.379757207568037,0.4791666666666667
500m_25198_7931,8,24.95198709141335,10.119163773583441,2.83324976611512,12.713009642087801,0.4756944444444444
500m_25164_7938,8,20.216967114540367,4.901332240305178,3.9253435089012783,15.292342085457525,0.3680555555555556
